strategy_name,symbol,market_cap_name,market_cap_bucket,sector,signal_date,entry_date,exit_date,entry_price,exit_price,target_price,stop_price,outcome,success,holding_trading_days,holding_calendar_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,forward_5d_return_pct,forward_10d_return_pct,forward_20d_return_pct,forward_60d_return_pct,exit_was_ambiguous,latest_available_date
target_10_stop_5,CHOICEIN,Midcap,Midcap,Financials,2025-10-31,2025-11-03,2025-11-06,837.8,795.91,921.58,795.91,STOP_LOSS,false,2,3,-5.0,0.38,-5.32,-5.23,-6.43,-6.34,-8.62,false,2026-06-25
target_5_stop_5,CHOICEIN,Midcap,Midcap,Financials,2025-10-31,2025-11-03,2025-11-06,837.8,795.91,879.69,795.91,STOP_LOSS,false,2,3,-5.0,0.38,-5.32,-5.23,-6.43,-6.34,-8.62,false,2026-06-25
target_10_stop_5,NAVINFLUOR,Largecap,Largecap,Chemicals,2025-10-31,2025-11-03,2026-01-19,5700.0,6270.0,6270.0,5415.0,TARGET_HIT,true,52,77,10.0,10.06,-4.56,5.68,5.73,1.52,7.0,false,2026-06-23
target_5_stop_5,NAVINFLUOR,Largecap,Largecap,Chemicals,2025-10-31,2025-11-03,2025-11-03,5700.0,5985.0,5985.0,5415.0,TARGET_HIT,true,0,0,5.0,7.0,0.0,5.68,5.73,1.52,7.0,false,2026-06-23
target_10_stop_5,RPEL,Midcap,Midcap,Building Materials,2025-11-03,2025-11-04,2025-11-10,877.0,964.7,964.7,833.15,TARGET_HIT,true,3,6,10.0,16.18,-1.29,14.16,20.28,20.16,-16.88,false,2026-06-23
target_5_stop_5,RPEL,Midcap,Midcap,Building Materials,2025-11-03,2025-11-04,2025-11-07,877.0,920.85,920.85,833.15,TARGET_HIT,true,2,3,5.0,5.74,-1.29,14.16,20.28,20.16,-16.88,false,2026-06-23
target_10_stop_5,SBFC,Midcap,Midcap,Financials,2025-11-03,2025-11-04,2025-11-06,119.19,113.23,131.11,113.23,STOP_LOSS,false,1,2,-5.0,0.0,-6.77,-7.92,-8.03,-10.95,-28.71,false,2026-06-23
target_5_stop_5,SBFC,Midcap,Midcap,Financials,2025-11-03,2025-11-04,2025-11-06,119.19,113.23,125.15,113.23,STOP_LOSS,false,1,2,-5.0,0.0,-6.77,-7.92,-8.03,-10.95,-28.71,false,2026-06-23
target_10_stop_5,GARUDA,Smallcap,Smallcap,Realty,2025-11-04,2025-11-06,2025-11-11,237.0,225.15,260.7,225.15,STOP_LOSS,false,3,5,-5.0,5.19,-7.55,-5.26,-8.15,-12.19,-33.31,false,2026-06-23
target_5_stop_5,GARUDA,Smallcap,Smallcap,Realty,2025-11-04,2025-11-06,2025-11-07,237.0,248.85,248.85,225.15,TARGET_HIT,true,1,1,5.0,5.19,-4.56,-5.26,-8.15,-12.19,-33.31,false,2026-06-23
