symbol,exchange,db_instrument_token,resolved_instrument_token,matched_key,expected_keys,candidate_keys,status
ABBOTINDIA,NSE,4583169,4583169,NSE:ABBOTINDIA,NSE:ABBOTINDIA | NSE:ABBOTINDIA-BE,,MATCHED
ABSLAMC,NSE,1540609,1540609,NSE:ABSLAMC,NSE:ABSLAMC | NSE:ABSLAMC-BE,,MATCHED
ACCELYA,NSE,1805569,1805569,NSE:ACCELYA,NSE:ACCELYA | NSE:ACCELYA-BE,,MATCHED
ACE,NSE,3478273,3478273,NSE:ACE,NSE:ACE | NSE:ACE-BE,,MATCHED
ACUTAAS,NSE,1427969,1427969,NSE:ACUTAAS,NSE:ACUTAAS | NSE:ACUTAAS-BE,,MATCHED
ADANIENSOL,NSE,2615553,2615553,NSE:ADANIENSOL,NSE:ADANIENSOL | NSE:ADANIENSOL-BE,,MATCHED
ADANIENT,NSE,6401,6401,NSE:ADANIENT,NSE:ADANIENT | NSE:ADANIENT-BE,,MATCHED
ADANIGREEN,NSE,912129,912129,NSE:ADANIGREEN,NSE:ADANIGREEN | NSE:ADANIGREEN-BE,,MATCHED
AEROFLEX,NSE,4676609,4676609,NSE:AEROFLEX,NSE:AEROFLEX | NSE:AEROFLEX-BE,,MATCHED
ANANDRATHI,NSE,1829121,1829121,NSE:ANANDRATHI,NSE:ANANDRATHI | NSE:ANANDRATHI-BE,,MATCHED
ANANTRAJ,NSE,3486721,3486721,NSE:ANANTRAJ,NSE:ANANTRAJ | NSE:ANANTRAJ-BE,,MATCHED
APEX,NSE,5535489,5535489,NSE:APEX,NSE:APEX | NSE:APEX-BE,,MATCHED
APOLLO,NSE,290305,290305,NSE:APOLLO,NSE:APOLLO | NSE:APOLLO-BE,,MATCHED
ARE&M,NSE,25601,25601,NSE:ARE&M,NSE:ARE&M | NSE:ARE&M-BE,,MATCHED
ASHOKLEY,NSE,54273,54273,NSE:ASHOKLEY,NSE:ASHOKLEY | NSE:ASHOKLEY-BE,,MATCHED
ASTRAMICRO,NSE,2974209,2974209,NSE:ASTRAMICRO,NSE:ASTRAMICRO | NSE:ASTRAMICRO-BE,,MATCHED
ATHERENERG,NSE,193957121,193957121,NSE:ATHERENERG,NSE:ATHERENERG | NSE:ATHERENERG-BE,,MATCHED
AVANTIFEED,NSE,2031617,2031617,NSE:AVANTIFEED,NSE:AVANTIFEED | NSE:AVANTIFEED-BE,,MATCHED
BBOX,NSE,879361,879361,NSE:BBOX,NSE:BBOX | NSE:BBOX-BE,,MATCHED
BEL,NSE,98049,98049,NSE:BEL,NSE:BEL | NSE:BEL-BE,,MATCHED
BHAGYANGR,NSE,5324545,5324545,NSE:BHAGYANGR-BE,NSE:BHAGYANGR | NSE:BHAGYANGR-BE,,MATCHED
BHARATFORG,NSE,108033,108033,NSE:BHARATFORG,NSE:BHARATFORG | NSE:BHARATFORG-BE,,MATCHED
BHARTIARTL,NSE,2714625,2714625,NSE:BHARTIARTL,NSE:BHARTIARTL | NSE:BHARTIARTL-BE,,MATCHED
BHEL,NSE,112129,112129,NSE:BHEL,NSE:BHEL | NSE:BHEL-BE,,MATCHED
BOSCHLTD,NSE,558337,558337,NSE:BOSCHLTD,NSE:BOSCHLTD | NSE:BOSCHLTD-BE,,MATCHED
CASTROLIND,NSE,320001,320001,NSE:CASTROLIND,NSE:CASTROLIND | NSE:CASTROLIND-BE,,MATCHED
CEMPRO,NSE,1439233,1439233,NSE:CEMPRO,NSE:CEMPRO | NSE:CEMPRO-BE,,MATCHED
CGPOWER,NSE,194561,194561,NSE:CGPOWER,NSE:CGPOWER | NSE:CGPOWER-BE,,MATCHED
COFORGE,NSE,2955009,2955009,NSE:COFORGE,NSE:COFORGE | NSE:COFORGE-BE,,MATCHED
CPPLUS,NSE,194267649,194267649,NSE:CPPLUS,NSE:CPPLUS | NSE:CPPLUS-BE,,MATCHED
CUMMINSIND,NSE,486657,486657,NSE:CUMMINSIND,NSE:CUMMINSIND | NSE:CUMMINSIND-BE,,MATCHED
DATAPATTNS,NSE,1883649,1883649,NSE:DATAPATTNS,NSE:DATAPATTNS | NSE:DATAPATTNS-BE,,MATCHED
DELHIVERY,NSE,2457345,2457345,NSE:DELHIVERY,NSE:DELHIVERY | NSE:DELHIVERY-BE,,MATCHED
