date,symbol,marketcapname,sector
31-10-2025,CHOICEIN,Midcap,Financials
31-10-2025,NAVINFLUOR,Largecap,Chemicals
03-11-2025,RPEL,Midcap,Building Materials
03-11-2025,SBFC,Midcap,Financials
04-11-2025,GARUDA,Smallcap,Realty
07-11-2025,NEULANDLAB,Largecap,Healthcare
10-11-2025,TORNTPHARM,Largecap,Healthcare
10-11-2025,NEULANDLAB,Largecap,Healthcare
10-11-2025,GAYAPROJ,Smallcap,Realty
11-11-2025,M&M,Largecap,Auto
11-11-2025,CANFINHOME,Midcap,Financials
12-11-2025,BIOCON,Largecap,Healthcare
13-11-2025,THYROCARE,Midcap,Healthcare
17-11-2025,PANSARI,Smallcap,Realty
19-11-2025,INDOTHAI,Smallcap,Financials
20-11-2025,EICHERMOT,Largecap,Auto
27-11-2025,STEL,Smallcap,Financials
01-12-2025,GLOBAL,Smallcap,Services
04-12-2025,HINDCOPPER,Largecap,Metals & Mining
05-12-2025,SHRIPISTON,Midcap,Auto
08-12-2025,TEAMGTY,Smallcap,Financials
08-12-2025,DREDGECORP,Smallcap,Miscellaneous
10-12-2025,JINDALPHOT,Smallcap,Financials
12-12-2025,HINDZINC,Largecap,Metals & Mining
12-12-2025,NAVINFLUOR,Largecap,Chemicals
12-12-2025,SMCGLOBAL,Smallcap,Financials
19-12-2025,GPPL,Midcap,Transportation
24-12-2025,SANDUMA,Midcap,Metals & Mining
24-12-2025,MANAPPURAM,Largecap,Financials
30-12-2025,CHOICEIN,Midcap,Financials
31-12-2025,CHOICEIN,Midcap,Financials
31-12-2025,LTF,Largecap,Financials
31-12-2025,INDUSTOWER,Largecap,Telecom
01-01-2026,KIRIINDUS,Smallcap,Chemicals
01-01-2026,BAJAJ-AUTO,Largecap,Auto
01-01-2026,INDUSTOWER,Largecap,Telecom
02-01-2026,CHOLAFIN,Largecap,Financials
02-01-2026,COALINDIA,Largecap,Metals & Mining
02-01-2026,AETHER,Midcap,Chemicals
05-01-2026,IIFLCAPS,Midcap,Financials
05-01-2026,SAILIFE,Largecap,Healthcare
06-01-2026,BLISSGVS,Midcap,Healthcare
07-01-2026,BLISSGVS,Midcap,Healthcare
07-01-2026,JBCHEPHARM,Largecap,Healthcare
07-01-2026,AGIIL,Smallcap,Realty
13-01-2026,AIIL,Largecap,Financials
22-01-2026,CREDITACC,Largecap,Financials
23-01-2026,SEAMECLTD,Smallcap,Miscellaneous
28-01-2026,BEL,Largecap,Aerospace & Defence
28-01-2026,GESHIP,Largecap,Transportation
28-01-2026,OIL,Largecap,Energy
29-01-2026,ACUTAAS,Largecap,Healthcare
03-02-2026,PFOCUS,Midcap,Realty
03-02-2026,ECLERX,Midcap,I.T
03-02-2026,NAM-INDIA,Largecap,Financials
04-02-2026,AIAENG,Largecap,Industrials
05-02-2026,SAKAR,Smallcap,Healthcare
09-02-2026,BLISSGVS,Midcap,Healthcare
10-02-2026,BSE,Largecap,Financials
11-02-2026,GRASIM,Largecap,Textiles
11-02-2026,EICHERMOT,Largecap,Auto
11-02-2026,ANURAS,Midcap,Chemicals
12-02-2026,HAPPYFORGE,Midcap,Industrials
13-02-2026,TORNTPHARM,Largecap,Healthcare
13-02-2026,DELPHIFX,Smallcap,Financials
13-02-2026,DIVGIITTS,Smallcap,Auto
16-02-2026,TORNTPHARM,Largecap,Healthcare
16-02-2026,JBCHEPHARM,Largecap,Healthcare
16-02-2026,RACLGEAR,Smallcap,Auto
16-02-2026,JPOLYINVST,Smallcap,Financials
17-02-2026,GRAPHITE,Midcap,Industrials
17-02-2026,TFCILTD,Smallcap,Financials
17-02-2026,JPOLYINVST,Smallcap,Financials
18-02-2026,CUMMINSIND,Largecap,Industrials
18-02-2026,UNIVPHOTO,Smallcap,Consumer Discretionary
18-02-2026,ABSLAMC,Largecap,Financials
20-02-2026,UNITEDTEA,Smallcap,FMCG
23-02-2026,MASFIN,Midcap,Financials
25-02-2026,AGIIL,Smallcap,Realty
26-02-2026,DATAPATTNS,Largecap,Aerospace & Defence
27-02-2026,AEROFLEX,Midcap,Metals & Mining
27-02-2026,SAILIFE,Largecap,Healthcare
10-03-2026,AUROPHARMA,Largecap,Healthcare
12-03-2026,COALINDIA,Largecap,Metals & Mining
16-03-2026,TIMKEN,Largecap,Industrials
17-03-2026,IPCALAB,Largecap,Healthcare
18-03-2026,MAHAPEXLTD,Smallcap,Financials
20-03-2026,TATAPOWER,Largecap,Power & Utilities
24-03-2026,PFOCUS,Midcap,Realty
25-03-2026,GRANULES,Midcap,Healthcare
08-04-2026,STEELCAS,Smallcap,Industrials
08-04-2026,ADANIENSOL,Largecap,Power & Utilities
09-04-2026,BSE,Largecap,Financials
10-04-2026,CUMMINSIND,Largecap,Industrials
10-04-2026,TDPOWERSYS,Midcap,Industrials
10-04-2026,MCX,Largecap,Financials
10-04-2026,SHRIPISTON,Midcap,Auto
10-04-2026,SONACOMS,Largecap,Auto
10-04-2026,INOXINDIA,Midcap,Industrials
13-04-2026,MCX,Largecap,Financials
15-04-2026,TATAPOWER,Largecap,Power & Utilities
15-04-2026,TIMKEN,Largecap,Industrials
15-04-2026,NMDC,Largecap,Metals & Mining
15-04-2026,PFC,Largecap,Financials
15-04-2026,PAISALO,Midcap,Financials
15-04-2026,KIRLOSENG,Largecap,Industrials
15-04-2026,QPOWER,Midcap,Industrials
16-04-2026,VEDL,Largecap,Metals & Mining
16-04-2026,NLCINDIA,Largecap,Power & Utilities
16-04-2026,SCI,Midcap,Transportation
16-04-2026,GMDCLTD,Midcap,Metals & Mining
16-04-2026,NATIONALUM,Largecap,Metals & Mining
16-04-2026,IMFA,Midcap,Metals & Mining
16-04-2026,DIVGIITTS,Smallcap,Auto
16-04-2026,AZAD,Midcap,Aerospace & Defence
16-04-2026,SENORES,Midcap,Healthcare
17-04-2026,LLOYDSME,Largecap,Metals & Mining
17-04-2026,NAVA,Midcap,Miscellaneous
17-04-2026,SATIN,Smallcap,Financials
17-04-2026,LAURUSLABS,Largecap,Healthcare
17-04-2026,NAM-INDIA,Largecap,Financials
20-04-2026,NDLVENTURE,Smallcap,Financials
20-04-2026,NOVARTIND,Smallcap,Healthcare
20-04-2026,GRAPHITE,Midcap,Industrials
20-04-2026,KOVAI,Midcap,Healthcare
