Sr.,Stock Name,Symbol,market_cap_bucket,close,pct_change,volume,sector,industry,vol_dry_200d_min_count,vol_dry_60d_min_count,vol_dry_200d_min_105_count,vol_dry_60d_min_105_count,roce_pct,ronw_pct,net_profit_after_tax,debt_equity_ratio,atr_lt_2pct_count,indian_promoter_pct,foreign_promoter_pct,quarterly_gross_sales,high_52w,low_52w,dist_200d_high_pct,dist_200d_low_pct,Add Column
"1","Infosys Limited","INFY","largecap","1,056.6","2.65%","1,23,46,266","i.t","computers - software - large","0","2","0","1","40.83","33.58","8509","0.1","5","13.3","0","46402","1728","1055.3","-38.85","2.98",""
"2","Tata Consultancy Services Limited","TCS","largecap","2,109","2.4%","47,47,277","i.t","computers - software - large","0","1","0","0","58.92","49.11","13784","0.1","10","71.77","0","70698","3350","2114","-37.04","2.63",""
"3","Dodla Dairy Ltd","DODLA","midcap","1,124","1.88%","14,542","fmcg","food - processing - indian","1","3","1","2","16.28","16.43","69.73","0.01","8","58.92","0","1074.47","1500","1002","-25.07","16.59",""
"4","Castrol India Limited","CASTROLIND","midcap","187.68","1%","29,81,869","chemicals","chemicals","0","2","0","2","58.8","45.47","242.18","0.03","19","0","51","1545.24","210.75","175.21","-10.95","10.34",""
"5","Alldigi Tech Ltd","ALLDIGI","smallcap","812.95","0.98%","3,703","i.t","computers - software - medium / small","0","2","0","2","30.5","27.34","28.88","0.21","10","73.39","0","154.67","1000","728","-18.71","16.14",""
"6","Astral Ltd","ASTRAL","largecap","1,536.7","0.87%","3,38,961","plastic products","plastics products","0","2","0","2","20.75","15.26","213","0.05","4","54.22","0","2088.5","1768.7","1377","-13.12","15.29",""
"7","Mphasis Limited","MPHASIS","largecap","2,261.1","0.74%","6,92,224","i.t","computers - software - large","0","1","0","1","21.32","18.48","509.64","0.14","3","0","30.55","4242.67","3037.2","2090.4","-25.55","12.32",""
"8","V-guard Industries Limited","VGUARD","midcap","313.55","0.64%","1,11,631","industrials","electric equipment","0","2","0","2","19.56","16.04","112.14","0.14","9","53.23","0","1755.27","392.2","299","-20.05","8.12",""
"9","Supreme Industries Limited","SUPREMEIND","largecap","3,560.4","0.56%","1,24,669","plastic products","plastics products","0","3","0","3","21.03","16.13","433.57","0.01","7","48.96","0","3527.66","4642.7","3264.8","-23.31","11.89",""
"10","Godfrey Phillips India Limited","GODFRYPHLP","largecap","2,248.4","0.47%","1,51,588","fmcg","cigarettes","0","5","0","4","27.88","22.63","521.46","0.06","7","47.48","25.1","3479.43","3947","1912.7","-43.04","22.72",""
